English,I love you
French,Je t’aime ma chérie
Spanish,Te amo para siempre
German,Ich liebe Dich
Mandarin,我爱你,Wo ai ni
Japanese,愛してる,Aishiteru
Korean,사랑해,Saranghae
Arabic,ٲنَا بحِبَّك,Ana bahebak
Hindi,मैं तुमसे प्यार करता हुँ,Main tumse pyar kartha hoon
Greek,Σ΄αγαπώ,Se agapo
Italian,Ti amo
Russian,Я люблю тебя
Hebrew,אני אוהב אותך,Ani ohev otakh
Cheyenne,Nemehotatse
Tagalog,Mahal kita
Inuktitut,ᓇᒡᓕᒋᕙᒋᑦ,Nagligivaget
Belarus,Я цябе кахаю
Ukranian,Я тебе кохаю
